timestamp,date,employer,position,method,notes
1776109514757,2026-04-13,"Surplus Tires","Marketing Manager (Part Time)","In Person",""
1776115044087,2026-04-07,"Stefanini","Endpoint Owner","Online Application",""
1776118892516,2026-04-08,"Insight Global","Senior Analyst","Online Application",""
1776118923185,2026-04-07,"TWC","Other","Other","Watched RESEA video"
1776118934667,2026-04-07,"TWC","Other","Other","Watched RESEA video"
1776118942853,2026-04-07,"TWC","Other","Other","Watched RESEA video"
1776118982360,2026-04-07,"TWC","Other","Other","Watched RESEA video "
1780951664016,2026-06-08,"PennComp, LLC","Helpdesk Engineer II","Online Application",""
1781023668757,2026-06-09,"Primary Services","Business Analyst","Online Application",""
1781023743159,2026-06-08,"NewCharter Technologies","Helpdesk Engineer II","Online Application",""
1781023781305,2026-06-08,"NewCharter Technologies","Compliance Team Lead","Online Application",""
1781023849475,2026-06-08,"Preactive IT Services","Any open","Email","rbrames@preactiveit.com"
1781023884021,2026-06-08,"Expert Computer Services","IT Manager","Online Application",""
1781023934107,2026-06-08,"I.T. Matters","Any","Phone Call","Naeli - took phone number and email address with a promise someone would call me back."
1781024001656,2026-06-08,"UpRite Services","Sr. System Support Analyst","Online Application",""
1781125831178,2026-06-10,"Network Event","Attendee","In Person",""
